"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","FTP Path to Experiment","Library Name","Library Strategy","Library Source","Library Selection"
"SRX492379","GR Trt 2","Bassia scoparia","Illumina HiSeq 2000","Michigan State University","SRP039328","Kochia scoparia Transcriptome","SRS565227","","13834.43","1","98987829","19797565800","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX492/SRX492379","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX492378","GR Trt 1","Bassia scoparia","Illumina HiSeq 2000","Michigan State University","SRP039328","Kochia scoparia Transcriptome","SRS565227","","11786.6","1","84314182","16862836400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX492/SRX492378","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX492377","GR Untrt 2","Bassia scoparia","Illumina HiSeq 2000","Michigan State University","SRP039328","Kochia scoparia Transcriptome","SRS565228","","11926.97","1","85050445","17010089000","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX492/SRX492377","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX492376","GR Untrt 1","Bassia scoparia","Illumina HiSeq 2000","Michigan State University","SRP039328","Kochia scoparia Transcriptome","SRS565228","","9965.52","1","71201902","14240380400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX492/SRX492376","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX492373","GS Untrt 2","Bassia scoparia","Illumina HiSeq 2000","Michigan State University","SRP039328","Kochia scoparia Transcriptome","SRS565229","","13633.49","1","97319715","19463943000","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX492/SRX492373","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX492326","GS Untrt 1","Bassia scoparia","Illumina HiSeq 2000","Michigan State University","SRP039328","Kochia scoparia Transcriptome","SRS565229","","10682.22","1","76407365","15281473000","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX492/SRX492326","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
